OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
3,iterativefit,central,1,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
3,iterativefit,central,0,0.0,2.5,20.0,30.0,-15.0,0.0,1.1564406156539917
3,iterativefit,central,0,0.0,2.5,20.0,30.0,0.0,0.0475,1.1564406156539917
3,iterativefit,central,0,0.0,2.5,20.0,30.0,0.0475,0.115,-306.43113231417914*(x-0.0475)*(x-0.0475)*(x-0.0475)+92.68832202162602*(x-0.0475)*(x-0.0475)-8.324392933100077*(x-0.0475)+1.1564406156539917
3,iterativefit,central,0,0.0,2.5,20.0,30.0,0.115,0.155,-5345.432087779048*(x-0.115)*(x-0.115)*(x-0.115)+320.7259252667428*(x-0.115)*(x-0.115)+0.0*(x-0.115)+0.9226133227348328
3,iterativefit,central,0,0.0,2.5,20.0,30.0,0.155,0.1975,507.31300002171076*(x-0.155)*(x-0.155)*(x-0.155)-51.79762418703051*(x-0.155)*(x-0.155)+0.0*(x-0.155)+1.0936671495437622
3,iterativefit,central,0,0.0,2.5,20.0,30.0,0.1975,0.2425,1491.8213691885578*(x-0.1975)*(x-0.1975)*(x-0.1975)-82.32243423100596*(x-0.1975)*(x-0.1975)-1.6537957370299476*(x-0.1975)+1.03905189037323
3,iterativefit,central,0,0.0,2.5,20.0,30.0,0.2425,0.2875,-3181.6602897905714*(x-0.2425)*(x-0.2425)*(x-0.2425)+214.7620695608635*(x-0.2425)*(x-0.2425)+0.0*(x-0.2425)+0.9338703751564026
3,iterativefit,central,0,0.0,2.5,20.0,30.0,0.2875,0.3325,4516.859276958606*(x-0.2875)*(x-0.2875)*(x-0.2875)-304.88800119470613*(x-0.2875)*(x-0.2875)+0.0*(x-0.2875)+1.0788347721099854
3,iterativefit,central,0,0.0,2.5,20.0,30.0,0.3325,0.38,-5122.091179600369*(x-0.3325)*(x-0.3325)*(x-0.3325)+364.94899654652625*(x-0.3325)*(x-0.3325)+0.0*(x-0.3325)+0.8730353713035583
3,iterativefit,central,0,0.0,2.5,20.0,30.0,0.38,0.43,410.8990435867076*(x-0.38)*(x-0.38)*(x-0.38)-46.27556207313418*(x-0.38)*(x-0.38)+0.0*(x-0.38)+1.1475074291229248
3,iterativefit,central,0,0.0,2.5,20.0,30.0,0.43,0.48,930.4627185134717*(x-0.43000000000000005)*(x-0.43000000000000005)*(x-0.43000000000000005)-54.32657008437916*(x-0.43000000000000005)*(x-0.43000000000000005)-1.5458133804131098*(x-0.43000000000000005)+1.0831809043884277
3,iterativefit,central,0,0.0,2.5,20.0,30.0,0.48,0.53,-2672.2450256347583*(x-0.48)*(x-0.48)*(x-0.48)+200.41837692260702*(x-0.48)*(x-0.48)+0.0*(x-0.48)+0.9863816499710083
3,iterativefit,central,0,0.0,2.5,20.0,30.0,0.53,0.5800000000000001,150.77903205416774*(x-0.53)*(x-0.53)*(x-0.53)-23.21201678825524*(x-0.53)*(x-0.53)+0.0*(x-0.53)+1.1533969640731812
3,iterativefit,central,0,0.0,2.5,20.0,30.0,0.5800000000000001,0.63,1503.608965220679*(x-0.5800000000000001)*(x-0.5800000000000001)*(x-0.5800000000000001)-100.86708300735809*(x-0.5800000000000001)*(x-0.5800000000000001)-1.190358938419266*(x-0.5800000000000001)+1.114214301109314
